origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,demanda_origen,demanda_destino,tiempo_base,tiempo_viaje
Portal Norte,Toberin,1,5,Lluvia fuerte,0,0,2,1,4,7.59
Portal Norte,Toberin,1,6,Normal,1,0,2,1,4,6.88
Portal Norte,Toberin,1,6,Lluvia,1,0,2,1,4,8.7
Portal Norte,Toberin,1,6,Lluvia fuerte,1,0,2,1,4,11.08
Portal Norte,Toberin,1,7,Normal,1,0,2,1,4,6.44
Portal Norte,Toberin,1,7,Lluvia,1,0,2,1,4,7.24
Portal Norte,Toberin,1,7,Lluvia fuerte,1,0,2,1,4,11.32
Portal Norte,Toberin,1,8,Normal,1,0,2,1,4,6.32
Portal Norte,Toberin,1,8,Lluvia,1,0,2,1,4,9.08
Portal Norte,Toberin,1,8,Lluvia fuerte,1,0,2,1,4,11.54
Portal Norte,Toberin,1,9,Normal,1,0,2,1,4,6.64
Portal Norte,Toberin,1,9,Lluvia,1,0,2,1,4,8.98
Portal Norte,Toberin,1,9,Lluvia fuerte,1,0,2,1,4,10.06
Portal Norte,Toberin,1,10,Normal,0,0,2,1,4,5.14
Portal Norte,Toberin,1,10,Lluvia,0,0,2,1,4,5.53
Portal Norte,Toberin,1,10,Lluvia fuerte,0,0,2,1,4,7.4
Portal Norte,Toberin,1,11,Normal,0,0,2,1,4,4.95
Portal Norte,Toberin,1,11,Lluvia,0,0,2,1,4,6.54
Portal Norte,Toberin,1,11,Lluvia fuerte,0,0,2,1,4,8.06
Portal Norte,Toberin,1,12,Normal,0,0,2,1,4,4.76
Portal Norte,Toberin,1,12,Lluvia,0,0,2,1,4,6.0
Portal Norte,Toberin,1,12,Lluvia fuerte,0,0,2,1,4,7.02
Portal Norte,Toberin,1,13,Normal,0,0,2,1,4,5.41
Portal Norte,Toberin,1,13,Lluvia,0,0,2,1,4,6.44
Portal Norte,Toberin,1,13,Lluvia fuerte,0,0,2,1,4,7.2
Portal Norte,Toberin,1,14,Normal,0,0,2,1,4,5.14
Portal Norte,Toberin,1,14,Lluvia,0,0,2,1,4,6.13
Portal Norte,Toberin,1,14,Lluvia fuerte,0,0,2,1,4,6.98
Portal Norte,Toberin,1,15,Normal,0,0,2,1,4,5.26
Portal Norte,Toberin,1,15,Lluvia,0,0,2,1,4,6.05
Portal Norte,Toberin,1,15,Lluvia fuerte,0,0,2,1,4,7.92
Portal Norte,Toberin,1,16,Normal,1,0,2,1,4,6.33
Portal Norte,Toberin,1,16,Lluvia,1,0,2,1,4,7.4
Portal Norte,Toberin,1,16,Lluvia fuerte,1,0,2,1,4,11.99
Portal Norte,Toberin,1,17,Normal,1,0,2,1,4,7.05
Portal Norte,Toberin,1,17,Lluvia,1,0,2,1,4,8.46
Portal Norte,Toberin,1,17,Lluvia fuerte,1,0,2,1,4,10.24
Portal Norte,Toberin,1,18,Normal,1,0,2,1,4,6.38
Portal Norte,Toberin,1,18,Lluvia,1,0,2,1,4,9.18
Portal Norte,Toberin,1,18,Lluvia fuerte,1,0,2,1,4,9.89
Portal Norte,Toberin,1,19,Normal,1,0,2,1,4,6.72
Portal Norte,Toberin,1,19,Lluvia,1,0,2,1,4,8.71
Portal Norte,Toberin,1,19,Lluvia fuerte,1,0,2,1,4,10.15
Portal Norte,Toberin,1,20,Normal,0,0,2,1,4,5.23
Portal Norte,Toberin,1,20,Lluvia,0,0,2,1,4,5.64
Portal Norte,Toberin,1,20,Lluvia fuerte,0,0,2,1,4,7.22
Portal Norte,Toberin,1,21,Normal,0,0,2,1,4,5.5
Portal Norte,Toberin,1,21,Lluvia,0,0,2,1,4,6.18
Portal Norte,Toberin,1,21,Lluvia fuerte,0,0,2,1,4,7.41
Portal Norte,Toberin,1,22,Normal,0,0,2,1,4,5.02
Portal Norte,Toberin,1,22,Lluvia,0,0,2,1,4,5.55
Portal Norte,Toberin,1,22,Lluvia fuerte,0,0,2,1,4,7.09
Portal Norte,Toberin,2,5,Normal,0,0,2,1,4,4.84
Portal Norte,Toberin,2,5,Lluvia,0,0,2,1,4,6.11
Portal Norte,Toberin,2,5,Lluvia fuerte,0,0,2,1,4,7.1
Portal Norte,Toberin,2,6,Normal,1,0,2,1,4,6.14
Portal Norte,Toberin,2,6,Lluvia,1,0,2,1,4,8.09
Portal Norte,Toberin,2,6,Lluvia fuerte,1,0,2,1,4,11.91
Portal Norte,Toberin,2,7,Normal,1,0,2,1,4,6.23
Portal Norte,Toberin,2,7,Lluvia,1,0,2,1,4,8.11
Portal Norte,Toberin,2,7,Lluvia fuerte,1,0,2,1,4,10.82
Portal Norte,Toberin,2,8,Normal,1,0,2,1,4,7.03
Portal Norte,Toberin,2,8,Lluvia,1,0,2,1,4,9.28
Portal Norte,Toberin,2,8,Lluvia fuerte,1,0,2,1,4,9.23
Portal Norte,Toberin,2,9,Normal,1,0,2,1,4,6.83
Portal Norte,Toberin,2,9,Lluvia,1,0,2,1,4,8.74
Portal Norte,Toberin,2,9,Lluvia fuerte,1,0,2,1,4,11.8
Portal Norte,Toberin,2,10,Normal,0,0,2,1,4,4.6
Portal Norte,Toberin,2,10,Lluvia,0,0,2,1,4,5.88
Portal Norte,Toberin,2,10,Lluvia fuerte,0,0,2,1,4,7.26
Portal Norte,Toberin,2,11,Normal,0,0,2,1,4,5.36
Portal Norte,Toberin,2,11,Lluvia,0,0,2,1,4,5.7
Portal Norte,Toberin,2,11,Lluvia fuerte,0,0,2,1,4,7.04
Portal Norte,Toberin,2,12,Normal,0,0,2,1,4,4.95
Portal Norte,Toberin,2,12,Lluvia,0,0,2,1,4,5.91
Portal Norte,Toberin,2,12,Lluvia fuerte,0,0,2,1,4,7.17
Portal Norte,Toberin,2,13,Normal,0,0,2,1,4,4.75
Portal Norte,Toberin,2,13,Lluvia,0,0,2,1,4,6.51
Portal Norte,Toberin,2,13,Lluvia fuerte,0,0,2,1,4,7.41
Portal Norte,Toberin,2,14,Normal,0,0,2,1,4,5.36
Portal Norte,Toberin,2,14,Lluvia,0,0,2,1,4,6.06
Portal Norte,Toberin,2,14,Lluvia fuerte,0,0,2,1,4,6.83
Portal Norte,Toberin,2,15,Normal,0,0,2,1,4,5.5
Portal Norte,Toberin,2,15,Lluvia,0,0,2,1,4,6.4
Portal Norte,Toberin,2,15,Lluvia fuerte,0,0,2,1,4,8.2
Portal Norte,Toberin,2,16,Normal,1,0,2,1,4,7.94
Portal Norte,Toberin,2,16,Lluvia,1,0,2,1,4,7.98
Portal Norte,Toberin,2,16,Lluvia fuerte,1,0,2,1,4,9.87
Portal Norte,Toberin,2,17,Normal,1,0,2,1,4,6.4
Portal Norte,Toberin,2,17,Lluvia,1,0,2,1,4,8.56
Portal Norte,Toberin,2,17,Lluvia fuerte,1,0,2,1,4,10.83
Portal Norte,Toberin,2,18,Normal,1,0,2,1,4,7.56
Portal Norte,Toberin,2,18,Lluvia,1,0,2,1,4,9.09
Portal Norte,Toberin,2,18,Lluvia fuerte,1,0,2,1,4,10.08
Portal Norte,Toberin,2,19,Normal,1,0,2,1,4,7.43
Portal Norte,Toberin,2,19,Lluvia,1,0,2,1,4,8.57
Portal Norte,Toberin,2,19,Lluvia fuerte,1,0,2,1,4,9.91
Portal Norte,Toberin,2,20,Normal,0,0,2,1,4,5.08
Portal Norte,Toberin,2,20,Lluvia,0,0,2,1,4,6.0
Portal Norte,Toberin,2,20,Lluvia fuerte,0,0,2,1,4,8.03
Portal Norte,Toberin,2,21,Normal,0,0,2,1,4,4.66
Portal Norte,Toberin,2,21,Lluvia,0,0,2,1,4,6.55
Portal Norte,Toberin,2,21,Lluvia fuerte,0,0,2,1,4,6.87
Portal Norte,Toberin,2,22,Normal,0,0,2,1,4,4.69
Portal Norte,Toberin,2,22,Lluvia,0,0,2,1,4,6.11
Portal Norte,Toberin,2,22,Lluvia fuerte,0,0,2,1,4,7.76
Portal Norte,Toberin,3,5,Normal,0,0,2,1,4,4.74
Portal Norte,Toberin,3,5,Lluvia,0,0,2,1,4,5.54
Portal Norte,Toberin,3,5,Lluvia fuerte,0,0,2,1,4,8.09
Portal Norte,Toberin,3,6,Normal,1,0,2,1,4,6.87
Portal Norte,Toberin,3,6,Lluvia,1,0,2,1,4,8.41
Portal Norte,Toberin,3,6,Lluvia fuerte,1,0,2,1,4,10.67
Portal Norte,Toberin,3,7,Normal,1,0,2,1,4,6.99
Portal Norte,Toberin,3,7,Lluvia,1,0,2,1,4,8.21
Portal Norte,Toberin,3,7,Lluvia fuerte,1,0,2,1,4,10.7
Portal Norte,Toberin,3,8,Normal,1,0,2,1,4,6.55
Portal Norte,Toberin,3,8,Lluvia,1,0,2,1,4,7.96
Portal Norte,Toberin,3,8,Lluvia fuerte,1,0,2,1,4,11.48
Portal Norte,Toberin,3,9,Normal,1,0,2,1,4,6.86
Portal Norte,Toberin,3,9,Lluvia,1,0,2,1,4,7.68
Portal Norte,Toberin,3,9,Lluvia fuerte,1,0,2,1,4,12.0
Portal Norte,Toberin,3,10,Normal,0,0,2,1,4,5.38
Portal Norte,Toberin,3,10,Lluvia,0,0,2,1,4,5.84
Portal Norte,Toberin,3,10,Lluvia fuerte,0,0,2,1,4,6.99
Portal Norte,Toberin,3,11,Normal,0,0,2,1,4,5.33
Portal Norte,Toberin,3,11,Lluvia,0,0,2,1,4,6.24
Portal Norte,Toberin,3,11,Lluvia fuerte,0,0,2,1,4,7.67
Portal Norte,Toberin,3,12,Normal,0,0,2,1,4,5.49
Portal Norte,Toberin,3,12,Lluvia,0,0,2,1,4,6.18
Portal Norte,Toberin,3,12,Lluvia fuerte,0,0,2,1,4,6.76
Portal Norte,Toberin,3,13,Normal,0,0,2,1,4,5.32
Portal Norte,Toberin,3,13,Lluvia,0,0,2,1,4,5.76
Portal Norte,Toberin,3,13,Lluvia fuerte,0,0,2,1,4,7.75
Portal Norte,Toberin,3,14,Normal,0,0,2,1,4,5.44
Portal Norte,Toberin,3,14,Lluvia,0,0,2,1,4,5.56
Portal Norte,Toberin,3,14,Lluvia fuerte,0,0,2,1,4,6.92
Portal Norte,Toberin,3,15,Normal,0,0,2,1,4,4.61
Portal Norte,Toberin,3,15,Lluvia,0,0,2,1,4,6.06
Portal Norte,Toberin,3,15,Lluvia fuerte,0,0,2,1,4,7.16
Portal Norte,Toberin,3,16,Normal,1,0,2,1,4,7.41
Portal Norte,Toberin,3,16,Lluvia,1,0,2,1,4,8.26
Portal Norte,Toberin,3,16,Lluvia fuerte,1,0,2,1,4,10.12
Portal Norte,Toberin,3,17,Normal,1,0,2,1,4,7.92
Portal Norte,Toberin,3,17,Lluvia,1,0,2,1,4,7.79
Portal Norte,Toberin,3,17,Lluvia fuerte,1,0,2,1,4,9.16
Portal Norte,Toberin,3,18,Normal,1,0,2,1,4,7.47
Portal Norte,Toberin,3,18,Lluvia,1,0,2,1,4,8.51
Portal Norte,Toberin,3,18,Lluvia fuerte,1,0,2,1,4,10.42
Portal Norte,Toberin,3,19,Normal,1,0,2,1,4,5.96
Portal Norte,Toberin,3,19,Lluvia,1,0,2,1,4,9.58
Portal Norte,Toberin,3,19,Lluvia fuerte,1,0,2,1,4,11.28
Portal Norte,Toberin,3,20,Normal,0,0,2,1,4,5.08
Portal Norte,Toberin,3,20,Lluvia,0,0,2,1,4,5.58
Portal Norte,Toberin,3,20,Lluvia fuerte,0,0,2,1,4,6.94
Portal Norte,Toberin,3,21,Normal,0,0,2,1,4,4.81
Portal Norte,Toberin,3,21,Lluvia,0,0,2,1,4,6.48
Portal Norte,Toberin,3,21,Lluvia fuerte,0,0,2,1,4,7.94
Portal Norte,Toberin,3,22,Normal,0,0,2,1,4,5.36
Portal Norte,Toberin,3,22,Lluvia,0,0,2,1,4,6.48
Portal Norte,Toberin,3,22,Lluvia fuerte,0,0,2,1,4,7.07
Portal Norte,Toberin,4,5,Normal,0,0,2,1,4,4.75
Portal Norte,Toberin,4,5,Lluvia,0,0,2,1,4,5.52
Portal Norte,Toberin,4,5,Lluvia fuerte,0,0,2,1,4,7.92
Portal Norte,Toberin,4,6,Normal,1,0,2,1,4,7.25
Portal Norte,Toberin,4,6,Lluvia,1,0,2,1,4,7.95
Portal Norte,Toberin,4,6,Lluvia fuerte,1,0,2,1,4,11.96
Portal Norte,Toberin,4,7,Normal,1,0,2,1,4,7.94
Portal Norte,Toberin,4,7,Lluvia,1,0,2,1,4,8.02
Portal Norte,Toberin,4,7,Lluvia fuerte,1,0,2,1,4,10.49
Portal Norte,Toberin,4,8,Normal,1,0,2,1,4,7.88
Portal Norte,Toberin,4,8,Lluvia,1,0,2,1,4,9.39
Portal Norte,Toberin,4,8,Lluvia fuerte,1,0,2,1,4,10.73
Portal Norte,Toberin,4,9,Normal,1,0,2,1,4,7.1
Portal Norte,Toberin,4,9,Lluvia,1,0,2,1,4,8.34
Portal Norte,Toberin,4,9,Lluvia fuerte,1,0,2,1,4,10.89
Portal Norte,Toberin,4,10,Normal,0,0,2,1,4,4.81
Portal Norte,Toberin,4,10,Lluvia,0,0,2,1,4,6.35
Portal Norte,Toberin,4,10,Lluvia fuerte,0,0,2,1,4,7.09
Portal Norte,Toberin,4,11,Normal,0,0,2,1,4,4.52
Portal Norte,Toberin,4,11,Lluvia,0,0,2,1,4,5.63
Portal Norte,Toberin,4,11,Lluvia fuerte,0,0,2,1,4,7.24
Portal Norte,Toberin,4,12,Normal,0,0,2,1,4,5.36
Portal Norte,Toberin,4,12,Lluvia,0,0,2,1,4,6.56
Portal Norte,Toberin,4,12,Lluvia fuerte,0,0,2,1,4,7.17
Portal Norte,Toberin,4,13,Normal,0,0,2,1,4,5.14
Portal Norte,Toberin,4,13,Lluvia,0,0,2,1,4,5.88
Portal Norte,Toberin,4,13,Lluvia fuerte,0,0,2,1,4,8.22
Portal Norte,Toberin,4,14,Normal,0,0,2,1,4,5.04
Portal Norte,Toberin,4,14,Lluvia,0,0,2,1,4,6.53
Portal Norte,Toberin,4,14,Lluvia fuerte,0,0,2,1,4,6.92
Portal Norte,Toberin,4,15,Normal,0,0,2,1,4,5.47
Portal Norte,Toberin,4,15,Lluvia,0,0,2,1,4,5.61
Portal Norte,Toberin,4,15,Lluvia fuerte,0,0,2,1,4,8.19
Portal Norte,Toberin,4,16,Normal,1,0,2,1,4,6.24
Portal Norte,Toberin,4,16,Lluvia,1,0,2,1,4,8.7
Portal Norte,Toberin,4,16,Lluvia fuerte,1,0,2,1,4,10.44
Portal Norte,Toberin,4,17,Normal,1,0,2,1,4,6.85
Portal Norte,Toberin,4,17,Lluvia,1,0,2,1,4,8.08
Portal Norte,Toberin,4,17,Lluvia fuerte,1,0,2,1,4,9.74
Portal Norte,Toberin,4,18,Normal,1,0,2,1,4,7.48
Portal Norte,Toberin,4,18,Lluvia,1,0,2,1,4,9.08
Portal Norte,Toberin,4,18,Lluvia fuerte,1,0,2,1,4,10.46
Portal Norte,Toberin,4,19,Normal,1,0,2,1,4,6.79
Portal Norte,Toberin,4,19,Lluvia,1,0,2,1,4,7.89
Portal Norte,Toberin,4,19,Lluvia fuerte,1,0,2,1,4,11.51
Portal Norte,Toberin,4,20,Normal,0,0,2,1,4,4.8
Portal Norte,Toberin,4,20,Lluvia,0,0,2,1,4,5.77
Portal Norte,Toberin,4,20,Lluvia fuerte,0,0,2,1,4,7.36
Portal Norte,Toberin,4,21,Normal,0,0,2,1,4,4.9
Portal Norte,Toberin,4,21,Lluvia,0,0,2,1,4,5.75
Portal Norte,Toberin,4,21,Lluvia fuerte,0,0,2,1,4,6.94
Portal Norte,Toberin,4,22,Normal,0,0,2,1,4,4.92
Portal Norte,Toberin,4,22,Lluvia,0,0,2,1,4,6.53
Portal Norte,Toberin,4,22,Lluvia fuerte,0,0,2,1,4,7.77
Portal Norte,Toberin,5,5,Normal,0,1,2,1,4,4.55
Portal Norte,Toberin,5,5,Lluvia,0,1,2,1,4,5.03
Portal Norte,Toberin,5,5,Lluvia fuerte,0,1,2,1,4,5.74
Portal Norte,Toberin,5,6,Normal,1,1,2,1,4,6.13
Portal Norte,Toberin,5,6,Lluvia,1,1,2,1,4,6.65
Portal Norte,Toberin,5,6,Lluvia fuerte,1,1,2,1,4,9.86
Portal Norte,Toberin,5,7,Normal,1,1,2,1,4,5.41
Portal Norte,Toberin,5,7,Lluvia,1,1,2,1,4,7.59
Portal Norte,Toberin,5,7,Lluvia fuerte,1,1,2,1,4,8.91
Portal Norte,Toberin,5,8,Normal,1,1,2,1,4,5.1
Portal Norte,Toberin,5,8,Lluvia,1,1,2,1,4,6.77
Portal Norte,Toberin,5,8,Lluvia fuerte,1,1,2,1,4,8.4
Portal Norte,Toberin,5,9,Normal,1,1,2,1,4,5.8
Portal Norte,Toberin,5,9,Lluvia,1,1,2,1,4,7.22
Portal Norte,Toberin,5,9,Lluvia fuerte,1,1,2,1,4,8.71
Portal Norte,Toberin,5,10,Normal,0,1,2,1,4,4.46
Portal Norte,Toberin,5,10,Lluvia,0,1,2,1,4,4.65
Portal Norte,Toberin,5,10,Lluvia fuerte,0,1,2,1,4,6.62
Portal Norte,Toberin,5,11,Normal,0,1,2,1,4,4.48
Portal Norte,Toberin,5,11,Lluvia,0,1,2,1,4,5.71
Portal Norte,Toberin,5,11,Lluvia fuerte,0,1,2,1,4,7.03
Portal Norte,Toberin,5,12,Normal,0,1,2,1,4,4.55
Portal Norte,Toberin,5,12,Lluvia,0,1,2,1,4,5.24
Portal Norte,Toberin,5,12,Lluvia fuerte,0,1,2,1,4,6.69
Portal Norte,Toberin,5,13,Normal,0,1,2,1,4,4.67
Portal Norte,Toberin,5,13,Lluvia,0,1,2,1,4,4.84
Portal Norte,Toberin,5,13,Lluvia fuerte,0,1,2,1,4,6.36
Portal Norte,Toberin,5,14,Normal,0,1,2,1,4,4.4
Portal Norte,Toberin,5,14,Lluvia,0,1,2,1,4,4.94
Portal Norte,Toberin,5,14,Lluvia fuerte,0,1,2,1,4,5.8
Portal Norte,Toberin,5,15,Normal,0,1,2,1,4,3.99
Portal Norte,Toberin,5,15,Lluvia,0,1,2,1,4,4.75
Portal Norte,Toberin,5,15,Lluvia fuerte,0,1,2,1,4,6.41
Portal Norte,Toberin,5,16,Normal,1,1,2,1,4,5.7
Portal Norte,Toberin,5,16,Lluvia,1,1,2,1,4,6.7
Portal Norte,Toberin,5,16,Lluvia fuerte,1,1,2,1,4,9.4
Portal Norte,Toberin,5,17,Normal,1,1,2,1,4,6.71
Portal Norte,Toberin,5,17,Lluvia,1,1,2,1,4,6.41
Portal Norte,Toberin,5,17,Lluvia fuerte,1,1,2,1,4,10.51
Portal Norte,Toberin,5,18,Normal,1,1,2,1,4,6.11
Portal Norte,Toberin,5,18,Lluvia,1,1,2,1,4,6.61
Portal Norte,Toberin,5,18,Lluvia fuerte,1,1,2,1,4,8.08
Portal Norte,Toberin,5,19,Normal,1,1,2,1,4,5.63
Portal Norte,Toberin,5,19,Lluvia,1,1,2,1,4,6.96
Portal Norte,Toberin,5,19,Lluvia fuerte,1,1,2,1,4,8.32
Portal Norte,Toberin,5,20,Normal,0,1,2,1,4,4.13
Portal Norte,Toberin,5,20,Lluvia,0,1,2,1,4,4.84
Portal Norte,Toberin,5,20,Lluvia fuerte,0,1,2,1,4,5.89
Portal Norte,Toberin,5,21,Normal,0,1,2,1,4,3.96
Portal Norte,Toberin,5,21,Lluvia,0,1,2,1,4,5.13
Portal Norte,Toberin,5,21,Lluvia fuerte,0,1,2,1,4,7.0
Portal Norte,Toberin,5,22,Normal,0,1,2,1,4,3.78
Portal Norte,Toberin,5,22,Lluvia,0,1,2,1,4,4.85
Portal Norte,Toberin,5,22,Lluvia fuerte,0,1,2,1,4,6.55
Portal Norte,Toberin,6,5,Normal,0,1,2,1,4,4.57
Portal Norte,Toberin,6,5,Lluvia,0,1,2,1,4,5.46
Portal Norte,Toberin,6,5,Lluvia fuerte,0,1,2,1,4,6.31
Portal Norte,Toberin,6,6,Normal,1,1,2,1,4,4.92
Portal Norte,Toberin,6,6,Lluvia,1,1,2,1,4,6.95
Portal Norte,Toberin,6,6,Lluvia fuerte,1,1,2,1,4,8.84
Portal Norte,Toberin,6,7,Normal,1,1,2,1,4,5.74
Portal Norte,Toberin,6,7,Lluvia,1,1,2,1,4,7.26
Portal Norte,Toberin,6,7,Lluvia fuerte,1,1,2,1,4,8.42
Portal Norte,Toberin,6,8,Normal,1,1,2,1,4,6.53
Portal Norte,Toberin,6,8,Lluvia,1,1,2,1,4,7.03
Portal Norte,Toberin,6,8,Lluvia fuerte,1,1,2,1,4,9.3
Portal Norte,Toberin,6,9,Normal,1,1,2,1,4,6.32
Portal Norte,Toberin,6,9,Lluvia,1,1,2,1,4,7.19
Portal Norte,Toberin,6,9,Lluvia fuerte,1,1,2,1,4,8.49
Portal Norte,Toberin,6,10,Normal,0,1,2,1,4,4.71
Portal Norte,Toberin,6,10,Lluvia,0,1,2,1,4,5.31
Portal Norte,Toberin,6,10,Lluvia fuerte,0,1,2,1,4,6.9
Portal Norte,Toberin,6,11,Normal,0,1,2,1,4,4.3
Portal Norte,Toberin,6,11,Lluvia,0,1,2,1,4,5.73
Portal Norte,Toberin,6,11,Lluvia fuerte,0,1,2,1,4,6.58
Portal Norte,Toberin,6,12,Normal,0,1,2,1,4,4.25
Portal Norte,Toberin,6,12,Lluvia,0,1,2,1,4,5.3
Portal Norte,Toberin,6,12,Lluvia fuerte,0,1,2,1,4,6.64
Portal Norte,Toberin,6,13,Normal,0,1,2,1,4,4.05
Portal Norte,Toberin,6,13,Lluvia,0,1,2,1,4,5.06
Portal Norte,Toberin,6,13,Lluvia fuerte,0,1,2,1,4,6.49
Portal Norte,Toberin,6,14,Normal,0,1,2,1,4,3.79
Portal Norte,Toberin,6,14,Lluvia,0,1,2,1,4,4.97
Portal Norte,Toberin,6,14,Lluvia fuerte,0,1,2,1,4,6.53
Portal Norte,Toberin,6,15,Normal,0,1,2,1,4,4.49
Portal Norte,Toberin,6,15,Lluvia,0,1,2,1,4,4.99
Portal Norte,Toberin,6,15,Lluvia fuerte,0,1,2,1,4,6.55
Portal Norte,Toberin,6,16,Normal,1,1,2,1,4,5.73
Portal Norte,Toberin,6,16,Lluvia,1,1,2,1,4,7.79
Portal Norte,Toberin,6,16,Lluvia fuerte,1,1,2,1,4,8.47
Portal Norte,Toberin,6,17,Normal,1,1,2,1,4,5.62
Portal Norte,Toberin,6,17,Lluvia,1,1,2,1,4,7.24
Portal Norte,Toberin,6,17,Lluvia fuerte,1,1,2,1,4,8.78
Portal Norte,Toberin,6,18,Normal,1,1,2,1,4,5.66
Portal Norte,Toberin,6,18,Lluvia,1,1,2,1,4,6.01
Portal Norte,Toberin,6,18,Lluvia fuerte,1,1,2,1,4,8.67
Portal Norte,Toberin,6,19,Normal,1,1,2,1,4,5.95
Portal Norte,Toberin,6,19,Lluvia,1,1,2,1,4,7.32
Portal Norte,Toberin,6,19,Lluvia fuerte,1,1,2,1,4,7.67
Portal Norte,Toberin,6,20,Normal,0,1,2,1,4,3.69
Portal Norte,Toberin,6,20,Lluvia,0,1,2,1,4,4.89
Portal Norte,Toberin,6,20,Lluvia fuerte,0,1,2,1,4,6.8
Portal Norte,Toberin,6,21,Normal,0,1,2,1,4,4.02
Portal Norte,Toberin,6,21,Lluvia,0,1,2,1,4,5.31
Portal Norte,Toberin,6,21,Lluvia fuerte,0,1,2,1,4,6.75
Portal Norte,Toberin,6,22,Normal,0,1,2,1,4,4.18
Portal Norte,Toberin,6,22,Lluvia,0,1,2,1,4,4.47
Portal Norte,Toberin,6,22,Lluvia fuerte,0,1,2,1,4,6.68
