origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,mejor_ruta,num_estaciones,num_transbordos,tiempo_total,congestion_promedio,num_alternativas,num_estaciones_alternativas,calidad_ruta
Av. Rojas,Portal Norte,2,12,Lluvia,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,24,22,108.48,0.483,1,24,0.0
Portal El Dorado,Mazuren,2,18,Lluvia fuerte,1,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,22,20,169.46,0.682,1,22,0.0
Prado,Pepe Sierra,3,19,Lluvia fuerte,1,0,Prado|Calle 127|Pepe Sierra,3,1,15.8,0.767,1,3,5.41
Santa Isabel,Calle 26,2,18,Normal,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26,6,4,26.0,0.633,1,6,0.8
Calle 76,Profamilia,5,19,Normal,1,1,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia,8,6,28.7,0.375,1,8,0.0
Calle 85,Cardio Infantil,3,14,Normal,0,0,Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,11,9,38.5,0.445,1,11,0.0
Santa Isabel,Marly,3,7,Lluvia fuerte,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly,7,5,50.7,0.643,1,7,0.0
Cardio Infantil,Av. Rojas,5,8,Normal,1,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,22,20,86.11,0.373,1,22,0.0
Virrey,Av. Jimenez,3,21,Lluvia,0,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,12,10,52.32,0.5,1,12,0.0
Calle 76,Flores,4,16,Normal,1,0,Calle 76|Calle 72|Flores,3,1,8.97,0.7,1,3,5.95
Portal Norte,Calle 142,2,7,Lluvia,1,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142,5,3,24.02,0.66,1,5,2.32
Av. Rojas,Calle 106,0,18,Lluvia fuerte,1,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,15,13,111.74,0.687,1,15,0.0
El Tiempo,Cardio Infantil,3,14,Lluvia,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,21,19,93.96,0.471,1,21,0.0
Mazuren,Portal El Dorado,4,10,Lluvia,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,22,20,103.32,0.482,1,22,0.0
Cardio Infantil,Calle 85,3,12,Lluvia,0,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,11,9,46.44,0.445,1,11,0.0
Tercer Milenio,Santa Isabel,5,11,Normal,0,1,Tercer Milenio|Comuneros|Santa Isabel,3,1,5.6,0.0,1,3,8.22
Flores,Mazuren,2,7,Normal,1,0,Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,14,12,65.26,0.671,1,14,0.0
Calle 26,Calle 85,0,7,Normal,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,9,7,40.69,0.722,1,9,0.0
Ricaurte,Calle 142,1,22,Lluvia fuerte,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,23,21,131.4,0.474,1,23,0.0
Prado,Cardio Infantil,1,8,Lluvia,1,0,Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,5,3,22.46,0.58,1,5,2.64
Virrey,Calle 127,4,7,Lluvia,1,0,Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,5,3,26.83,0.7,1,5,2.06
Marly,Pepe Sierra,0,6,Normal,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,12,10,53.82,0.683,1,12,0.0
Alcala,Calle 45,0,9,Normal,1,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,14,12,65.91,0.686,1,14,0.0
Cardio Infantil,Calle 142,6,7,Lluvia fuerte,1,1,Cardio Infantil|Mazuren|Calle 142,3,1,11.39,0.267,1,3,7.13
Virrey,Calle 45,3,14,Lluvia,0,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,8,6,30.36,0.475,1,8,0.0
Calle 76,Av. Rojas,2,22,Normal,0,0,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,10,8,36.1,0.48,1,10,0.0
Tercer Milenio,Portal El Dorado,2,20,Lluvia fuerte,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,8,6,49.35,0.5,1,8,0.0
Calle 85,Calle 100,3,8,Lluvia fuerte,1,0,Calle 85|Virrey|Calle 100,3,1,16.19,0.7,1,3,5.59
Toberin,Marly,6,13,Normal,0,1,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,19,17,53.84,0.168,1,19,0.0
Comuneros,Cardio Infantil,1,21,Normal,0,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,23,21,85.8,0.465,1,23,0.0
Calle 85,Prado,1,7,Normal,1,0,Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,7,5,31.33,0.7,1,7,0.0
El Tiempo,Marly,2,15,Lluvia fuerte,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly,4,2,21.75,0.5,1,4,4.41
Calle 76,Av. Rojas,4,9,Lluvia,1,0,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,10,8,56.32,0.68,1,10,0.0
Calle 26,Virrey,6,20,Lluvia fuerte,0,1,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,10,8,41.52,0.2,1,10,0.0
Portal Norte,Calle 85,0,21,Normal,0,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,13,11,46.8,0.469,1,13,0.0
El Tiempo,Calle 76,5,20,Normal,0,1,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,9,7,25.36,0.178,1,9,0.0
Ricaurte,Tercer Milenio,4,10,Lluvia,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio,4,2,14.16,0.4,1,4,5.09
Marly,Santa Isabel,4,16,Lluvia,1,0,Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,7,5,40.4,0.643,1,7,0.0
Santa Isabel,Comuneros,2,11,Lluvia,0,0,Santa Isabel|Comuneros,2,0,4.8,0.3,1,2,8.86
Calle 142,Mazuren,5,14,Normal,0,1,Calle 142|Mazuren,2,0,3.2,0.0,1,2,9.84
Salitre El Greco,Santa Isabel,2,13,Normal,0,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,7,5,25.9,0.443,1,7,0.0
Virrey,Cardio Infantil,5,14,Lluvia fuerte,0,1,Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,10,8,42.24,0.14,1,10,0.0
Toberin,Profamilia,3,6,Normal,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia,21,19,100.88,0.671,1,21,0.0
Portal El Dorado,Marly,3,8,Lluvia fuerte,1,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly,6,4,50.9,0.733,1,6,0.0
Calle 63,Salitre El Greco,2,14,Lluvia,0,0,Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,5,3,22.68,0.5,1,5,2.87
Cardio Infantil,Toberin,3,18,Lluvia fuerte,1,0,Cardio Infantil|Toberin,2,0,6.44,0.7,1,2,7.58
Portal Norte,Profamilia,5,9,Normal,1,1,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia,22,20,85.7,0.382,1,22,0.0
Calle 45,El Tiempo,3,10,Lluvia fuerte,0,0,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,5,3,26.7,0.46,1,5,2.78
Pepe Sierra,Calle 100,3,9,Normal,1,0,Pepe Sierra|Calle 106|Calle 100,3,1,9.49,0.7,1,3,5.93
Calle 127,Portal Norte,6,12,Lluvia fuerte,0,1,Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,8,6,30.84,0.175,1,8,0.0
Toberin,Alcala,0,21,Lluvia fuerte,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala,5,3,20.4,0.38,1,5,3.34
Calle 76,Flores,3,5,Lluvia fuerte,0,0,Calle 76|Calle 72|Flores,3,1,10.35,0.5,1,3,6.48
Calle 127,Calle 142,3,12,Normal,0,0,Calle 127|Prado|Alcala|Calle 142,4,2,11.0,0.45,1,4,5.1
Comuneros,Portal Norte,6,14,Lluvia fuerte,0,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,25,23,112.2,0.176,1,25,0.0
Profamilia,Calle 85,2,16,Normal,1,0,Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,10,8,45.89,0.7,1,10,0.0
Calle 100,Heroes,4,19,Lluvia,1,0,Calle 100|Virrey|Calle 85|Heroes,4,2,20.9,0.75,1,4,3.7
Calle 45,Calle 106,6,6,Lluvia fuerte,1,1,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,10,8,54.76,0.38,1,10,0.0
Calle 142,Calle 72,1,5,Lluvia fuerte,0,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,12,10,64.05,0.5,1,12,0.0
Calle 26,Heroes,1,21,Lluvia fuerte,0,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,8,6,39.75,0.525,1,8,0.0
Calle 26,Prado,2,17,Lluvia fuerte,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,15,13,108.03,0.713,1,15,0.0
Calle 63,Portal Norte,6,21,Normal,0,1,Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,18,16,51.36,0.189,1,18,0.0
Ricaurte,Calle 26,1,22,Lluvia,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26,7,5,29.76,0.471,1,7,0.0
Flores,Alcala,2,5,Normal,0,0,Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,12,10,43.2,0.5,1,12,0.0
Calle 85,El Tiempo,3,21,Normal,0,0,Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,11,9,40.1,0.5,1,11,0.0
Prado,Portal El Dorado,3,9,Lluvia fuerte,1,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,19,17,146.45,0.711,1,19,0.0
Alcala,El Tiempo,3,22,Lluvia fuerte,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,18,16,102.75,0.489,1,18,0.0
Calle 85,Ricaurte,2,14,Normal,0,0,Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,15,13,55.2,0.487,1,15,0.0
Calle 76,Heroes,5,14,Lluvia,0,1,Calle 76|Heroes,2,0,3.17,0.3,1,2,8.94
Tercer Milenio,Calle 127,4,6,Lluvia,1,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,17,15,101.09,0.7,1,17,0.0
Av. Jimenez,Calle 26,2,19,Lluvia,1,0,Av. Jimenez|Profamilia|Calle 26,3,1,15.6,0.767,1,3,5.42
Mazuren,Cardio Infantil,0,16,Normal,1,0,Mazuren|Cardio Infantil,2,0,3.9,0.6,1,2,8.0
Calle 106,Calle 127,3,10,Lluvia,0,0,Calle 106|Pepe Sierra|Calle 127,3,1,8.88,0.5,1,3,6.56
Cardio Infantil,Comuneros,5,5,Lluvia,0,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,23,21,82.46,0.165,1,23,0.0
Toberin,Calle 72,0,22,Normal,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,15,13,53.3,0.487,1,15,0.0
Calle 100,Calle 127,1,21,Normal,0,0,Calle 100|Calle 106|Pepe Sierra|Calle 127,4,2,12.2,0.55,1,4,4.74
Salitre El Greco,Marly,0,5,Normal,0,0,Salitre El Greco|Calle 26|Marly,3,1,11.5,0.567,1,3,6.23
Flores,El Tiempo,5,10,Lluvia fuerte,0,1,Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,7,5,30.24,0.143,1,7,0.56
Salitre El Greco,Av. Rojas,3,22,Normal,0,0,Salitre El Greco|El Tiempo|Av. Rojas,3,1,7.3,0.433,1,3,6.83
Salitre El Greco,Calle 72,3,20,Lluvia fuerte,0,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,7,5,37.65,0.5,1,7,0.0
Cardio Infantil,Calle 106,6,22,Normal,0,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106,8,6,20.56,0.125,1,8,0.0
Mazuren,Calle 106,5,13,Lluvia,0,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106,7,5,21.5,0.114,1,7,1.08
Salitre El Greco,Alcala,2,15,Normal,0,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,17,15,65.3,0.5,1,17,0.0
Heroes,Comuneros,0,9,Normal,1,0,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,12,10,55.64,0.683,1,12,0.0
El Tiempo,Calle 106,1,10,Normal,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,14,12,52.9,0.486,1,14,0.0
Calle 142,Marly,1,21,Lluvia fuerte,0,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,16,14,85.05,0.475,1,16,0.0
Calle 127,Portal Norte,0,17,Lluvia fuerte,1,0,Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,8,6,50.12,0.675,1,8,0.0
Santa Isabel,Calle 85,0,11,Lluvia,0,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,14,12,61.56,0.471,1,14,0.0
Profamilia,Ricaurte,6,22,Normal,0,1,Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,6,4,15.68,0.133,1,6,2.82
Pepe Sierra,Comuneros,6,10,Lluvia fuerte,0,1,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,17,15,76.2,0.176,1,17,0.0
Calle 85,Av. Rojas,1,12,Normal,0,0,Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,12,10,44.1,0.5,1,12,0.0
Mazuren,Calle 100,3,9,Normal,1,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100,8,6,34.32,0.65,1,8,0.0
Portal El Dorado,Prado,2,13,Normal,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,19,17,75.5,0.511,1,19,0.0
Flores,Comuneros,2,7,Lluvia,1,0,Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,9,7,50.39,0.633,1,9,0.0
Prado,Salitre El Greco,6,6,Lluvia fuerte,1,1,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,16,14,95.47,0.412,1,16,0.0
El Tiempo,Tercer Milenio,1,22,Lluvia fuerte,0,0,El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,6,4,32.85,0.467,1,6,0.96
