estacion,dia_semana,hora_dia,es_hora_pico,es_fin_semana,categoria_demanda,tiene_evento_especial,nivel_congestion
Toberin,0,6,1,0,1,0,0.742
Toberin,0,7,1,0,1,0,0.791
Toberin,0,8,1,0,1,0,0.772
Toberin,0,9,1,0,1,0,0.763
Toberin,0,10,0,0,1,0,0.504
Toberin,0,11,0,0,1,0,0.502
Toberin,0,12,0,0,1,0,0.486
Toberin,0,13,0,0,1,0,0.492
Toberin,0,14,0,0,1,0,0.492
Toberin,0,15,0,0,1,0,0.539
Toberin,0,16,1,0,1,0,0.656
Toberin,0,17,1,0,1,0,0.837
Toberin,0,18,1,0,1,0,0.855
Toberin,0,19,1,0,1,0,0.831
Toberin,0,20,0,0,1,0,0.543
Toberin,0,21,0,0,1,0,0.533
Toberin,0,22,0,0,1,0,0.491
Toberin,1,5,0,0,1,0,0.513
Toberin,1,6,1,0,1,1,0.89
Toberin,1,7,1,0,1,0,0.758
Toberin,1,8,1,0,1,0,0.791
Toberin,1,9,1,0,1,0,0.789
Toberin,1,10,0,0,1,0,0.509
Toberin,1,11,0,0,1,0,0.478
Toberin,1,12,0,0,1,0,0.507
Toberin,1,13,0,0,1,0,0.451
Toberin,1,14,0,0,1,0,0.493
Toberin,1,15,0,0,1,0,0.517
Toberin,1,16,1,0,1,0,0.681
Toberin,1,17,1,0,1,0,0.894
Toberin,1,18,1,0,1,0,0.805
Toberin,1,19,1,0,1,0,0.852
Toberin,1,20,0,0,1,0,0.49
Toberin,1,21,0,0,1,0,0.537
Toberin,1,22,0,0,1,0,0.536
Toberin,2,5,0,0,1,0,0.466
Toberin,2,6,1,0,1,0,0.741
Toberin,2,7,1,0,1,0,0.832
Toberin,2,8,1,0,1,0,0.817
Toberin,2,9,1,0,1,0,0.801
Toberin,2,10,0,0,1,0,0.519
Toberin,2,11,0,0,1,0,0.456
Toberin,2,12,0,0,1,0,0.47
Toberin,2,13,0,0,1,0,0.549
Toberin,2,14,0,0,1,0,0.527
Toberin,2,15,0,0,1,0,0.539
Toberin,2,16,1,0,1,1,0.895
Toberin,2,17,1,0,1,0,0.868
Toberin,2,18,1,0,1,0,0.891
Toberin,2,19,1,0,1,0,0.881
Toberin,2,20,0,0,1,0,0.517
Toberin,2,21,0,0,1,0,0.514
Toberin,2,22,0,0,1,0,0.545
Toberin,3,5,0,0,1,0,0.468
Toberin,3,6,1,0,1,0,0.749
Toberin,3,7,1,0,1,0,0.776
Toberin,3,8,1,0,1,0,0.808
Toberin,3,9,1,0,1,0,0.817
Toberin,3,10,0,0,1,0,0.542
Toberin,3,11,0,0,1,0,0.541
Toberin,3,12,0,0,1,0,0.482
Toberin,3,13,0,0,1,0,0.5
Toberin,3,14,0,0,1,0,0.535
Toberin,3,15,0,0,1,0,0.55
Toberin,3,16,1,0,1,1,0.901
Toberin,3,17,1,0,1,0,0.888
Toberin,3,18,1,0,1,0,0.884
Toberin,3,19,1,0,1,0,0.855
Toberin,3,20,0,0,1,0,0.484
Toberin,3,21,0,0,1,0,0.54
Toberin,3,22,0,0,1,0,0.482
Toberin,4,5,0,0,1,0,0.469
Toberin,4,6,1,0,1,0,0.657
Toberin,4,7,1,0,1,0,0.782
Toberin,4,8,1,0,1,0,0.846
Toberin,4,9,1,0,1,0,0.834
Toberin,4,10,0,0,1,0,0.473
Toberin,4,11,0,0,1,0,0.46
Toberin,4,12,0,0,1,0,0.477
Toberin,4,13,0,0,1,0,0.541
Toberin,4,14,0,0,1,0,0.547
Toberin,4,15,0,0,1,0,0.546
Toberin,4,16,1,0,1,0,0.678
Toberin,4,17,1,0,1,0,0.829
Toberin,4,18,1,0,1,0,0.872
Toberin,4,19,1,0,1,0,0.87
Toberin,4,20,0,0,1,0,0.496
Toberin,4,21,0,0,1,0,0.542
Toberin,4,22,0,0,1,0,0.514
Toberin,5,5,0,1,1,0,0.221
Toberin,5,6,1,1,1,0,0.436
Toberin,5,7,1,1,1,0,0.495
Toberin,5,8,1,1,1,0,0.514
Toberin,5,9,1,1,1,0,0.477
Toberin,5,10,0,1,1,0,0.165
Toberin,5,11,0,1,1,0,0.224
Toberin,5,12,0,1,1,0,0.216
Toberin,5,13,0,1,1,0,0.206
Toberin,5,14,0,1,1,1,0.395
Toberin,5,15,0,1,1,0,0.216
Toberin,5,16,1,1,1,0,0.353
Toberin,5,17,1,1,1,0,0.556
Toberin,5,18,1,1,1,0,0.517
Toberin,5,19,1,1,1,0,0.558
Toberin,5,20,0,1,1,0,0.188
Toberin,5,21,0,1,1,0,0.162
Toberin,5,22,0,1,1,0,0.192
Toberin,6,5,0,1,1,0,0.246
Toberin,6,6,1,1,1,0,0.427
Toberin,6,7,1,1,1,0,0.537
Toberin,6,8,1,1,1,0,0.502
Toberin,6,9,1,1,1,0,0.484
Toberin,6,10,0,1,1,0,0.206
Toberin,6,11,0,1,1,0,0.186
Toberin,6,12,0,1,1,0,0.203
Toberin,6,13,0,1,1,0,0.176
Toberin,6,14,0,1,1,0,0.239
Toberin,6,15,0,1,1,0,0.162
Toberin,6,16,1,1,1,0,0.427
Toberin,6,17,1,1,1,0,0.592
Toberin,6,18,1,1,1,0,0.572
Toberin,6,19,1,1,1,0,0.503
Toberin,6,20,0,1,1,0,0.191
Toberin,6,21,0,1,1,0,0.157
Toberin,6,22,0,1,1,0,0.209
Cardio Infantil,0,5,0,0,1,0,0.479
Cardio Infantil,0,6,1,0,1,0,0.695
Cardio Infantil,0,7,1,0,1,0,0.816
Cardio Infantil,0,8,1,0,1,0,0.783
Cardio Infantil,0,9,1,0,1,1,0.997
Cardio Infantil,0,10,0,0,1,0,0.523
Cardio Infantil,0,11,0,0,1,0,0.502
Cardio Infantil,0,12,0,0,1,0,0.46
Cardio Infantil,0,13,0,0,1,0,0.489
Cardio Infantil,0,14,0,0,1,0,0.459
Cardio Infantil,0,15,0,0,1,0,0.458
Cardio Infantil,0,16,1,0,1,0,0.727
Cardio Infantil,0,17,1,0,1,0,0.851
Cardio Infantil,0,18,1,0,1,0,0.846
Cardio Infantil,0,19,1,0,1,0,0.805
Cardio Infantil,0,20,0,0,1,0,0.536
Cardio Infantil,0,21,0,0,1,0,0.512
Cardio Infantil,0,22,0,0,1,0,0.522
Cardio Infantil,1,5,0,0,1,0,0.543
Cardio Infantil,1,6,1,0,1,0,0.672
Cardio Infantil,1,7,1,0,1,0,0.768
Cardio Infantil,1,8,1,0,1,0,0.816
Cardio Infantil,1,9,1,0,1,0,0.849
Cardio Infantil,1,10,0,0,1,0,0.483
Cardio Infantil,1,11,0,0,1,0,0.546
Cardio Infantil,1,12,0,0,1,0,0.503
Cardio Infantil,1,13,0,0,1,0,0.499
Cardio Infantil,1,14,0,0,1,0,0.512
Cardio Infantil,1,15,0,0,1,0,0.535
Cardio Infantil,1,16,1,0,1,0,0.71
Cardio Infantil,1,17,1,0,1,0,0.849
Cardio Infantil,1,18,1,0,1,0,0.87
Cardio Infantil,1,19,1,0,1,0,0.862
Cardio Infantil,1,20,0,0,1,0,0.534
Cardio Infantil,1,21,0,0,1,0,0.507
Cardio Infantil,1,22,0,0,1,0,0.502
Cardio Infantil,2,5,0,0,1,0,0.477
Cardio Infantil,2,6,1,0,1,0,0.731
Cardio Infantil,2,7,1,0,1,0,0.772
Cardio Infantil,2,8,1,0,1,0,0.786
Cardio Infantil,2,9,1,0,1,0,0.839
Cardio Infantil,2,10,0,0,1,0,0.467
Cardio Infantil,2,11,0,0,1,0,0.524
Cardio Infantil,2,12,0,0,1,1,0.692
Cardio Infantil,2,13,0,0,1,0,0.46
Cardio Infantil,2,14,0,0,1,0,0.508
Cardio Infantil,2,15,0,0,1,0,0.543
Cardio Infantil,2,16,1,0,1,0,0.73
Cardio Infantil,2,17,1,0,1,0,0.899
Cardio Infantil,2,18,1,0,1,0,0.836
Cardio Infantil,2,19,1,0,1,0,0.822
Cardio Infantil,2,20,0,0,1,0,0.457
Cardio Infantil,2,21,0,0,1,0,0.507
Cardio Infantil,2,22,0,0,1,0,0.457
Cardio Infantil,3,5,0,0,1,0,0.514
Cardio Infantil,3,6,1,0,1,0,0.683
Cardio Infantil,3,7,1,0,1,0,0.756
Cardio Infantil,3,8,1,0,1,0,0.825
Cardio Infantil,3,9,1,0,1,0,0.788
Cardio Infantil,3,10,0,0,1,0,0.464
Cardio Infantil,3,11,0,0,1,0,0.53
Cardio Infantil,3,12,0,0,1,0,0.467
Cardio Infantil,3,13,0,0,1,0,0.481
Cardio Infantil,3,14,0,0,1,0,0.506
Cardio Infantil,3,15,0,0,1,0,0.532
Cardio Infantil,3,16,1,0,1,0,0.726
Cardio Infantil,3,17,1,0,1,0,0.806
Cardio Infantil,3,18,1,0,1,1,1.0
Cardio Infantil,3,19,1,0,1,0,0.833
Cardio Infantil,3,20,0,0,1,0,0.515
Cardio Infantil,3,21,0,0,1,0,0.529
Cardio Infantil,3,22,0,0,1,0,0.511
Cardio Infantil,4,5,0,0,1,1,0.74
Cardio Infantil,4,6,1,0,1,0,0.733
Cardio Infantil,4,7,1,0,1,0,0.81
Cardio Infantil,4,8,1,0,1,0,0.806
Cardio Infantil,4,9,1,0,1,0,0.841
Cardio Infantil,4,10,0,0,1,0,0.521
Cardio Infantil,4,11,0,0,1,0,0.5
Cardio Infantil,4,12,0,0,1,0,0.529
Cardio Infantil,4,13,0,0,1,0,0.468
Cardio Infantil,4,14,0,0,1,0,0.518
Cardio Infantil,4,15,0,0,1,0,0.469
Cardio Infantil,4,16,1,0,1,0,0.738
Cardio Infantil,4,17,1,0,1,0,0.826
Cardio Infantil,4,18,1,0,1,0,0.854
Cardio Infantil,4,19,1,0,1,0,0.866
Cardio Infantil,4,20,0,0,1,0,0.495
Cardio Infantil,4,21,0,0,1,0,0.46
Cardio Infantil,4,22,0,0,1,0,0.48
Cardio Infantil,5,5,0,1,1,0,0.177
Cardio Infantil,5,6,1,1,1,0,0.362
Cardio Infantil,5,7,1,1,1,0,0.488
Cardio Infantil,5,8,1,1,1,0,0.547
Cardio Infantil,5,9,1,1,1,0,0.547
Cardio Infantil,5,10,0,1,1,0,0.188
Cardio Infantil,5,11,0,1,1,0,0.217
Cardio Infantil,5,12,0,1,1,0,0.151
Cardio Infantil,5,13,0,1,1,0,0.243
Cardio Infantil,5,14,0,1,1,0,0.227
Cardio Infantil,5,15,0,1,1,0,0.216
Cardio Infantil,5,16,1,1,1,0,0.395
Cardio Infantil,5,17,1,1,1,0,0.567
Cardio Infantil,5,18,1,1,1,0,0.533
Cardio Infantil,5,19,1,1,1,0,0.506
Cardio Infantil,5,20,0,1,1,0,0.24
Cardio Infantil,5,21,0,1,1,0,0.159
Cardio Infantil,5,22,0,1,1,0,0.229
Cardio Infantil,6,5,0,1,1,0,0.159
Cardio Infantil,6,6,1,1,1,0,0.395
Cardio Infantil,6,7,1,1,1,0,0.498
Cardio Infantil,6,8,1,1,1,0,0.477
Cardio Infantil,6,9,1,1,1,0,0.487
Cardio Infantil,6,10,0,1,1,0,0.241
Cardio Infantil,6,11,0,1,1,0,0.231
Cardio Infantil,6,12,0,1,1,0,0.219
Cardio Infantil,6,13,0,1,1,0,0.247
Cardio Infantil,6,14,0,1,1,0,0.155
Cardio Infantil,6,15,0,1,1,0,0.177
Cardio Infantil,6,16,1,1,1,1,0.558
Cardio Infantil,6,17,1,1,1,0,0.539
Cardio Infantil,6,18,1,1,1,0,0.545
Cardio Infantil,6,19,1,1,1,0,0.546
Cardio Infantil,6,20,0,1,1,0,0.214
Cardio Infantil,6,21,0,1,1,0,0.243
Cardio Infantil,6,22,0,1,1,0,0.196
Mazuren,0,5,0,0,0,0,0.264
Mazuren,0,6,1,0,0,0,0.498
Mazuren,0,7,1,0,0,0,0.626
Mazuren,0,8,1,0,0,0,0.593
Mazuren,0,9,1,0,0,0,0.552
Mazuren,0,10,0,0,0,0,0.323
Mazuren,0,11,0,0,0,0,0.255
Mazuren,0,12,0,0,0,0,0.339
Mazuren,0,13,0,0,0,0,0.32
Mazuren,0,14,0,0,0,0,0.32
Mazuren,0,15,0,0,0,0,0.336
Mazuren,0,16,1,0,0,0,0.534
Mazuren,0,17,1,0,0,0,0.633
Mazuren,0,18,1,0,0,0,0.69
Mazuren,0,19,1,0,0,0,0.684
Mazuren,0,20,0,0,0,1,0.47
Mazuren,0,21,0,0,0,0,0.28
Mazuren,0,22,0,0,0,0,0.25
Mazuren,1,5,0,0,0,0,0.303
Mazuren,1,6,1,0,0,0,0.533
Mazuren,1,7,1,0,0,0,0.57
Mazuren,1,8,1,0,0,0,0.63
Mazuren,1,9,1,0,0,0,0.585
Mazuren,1,10,0,0,0,0,0.261
Mazuren,1,11,0,0,0,0,0.293
Mazuren,1,12,0,0,0,0,0.31
Mazuren,1,13,0,0,0,0,0.335
Mazuren,1,14,0,0,0,0,0.283
Mazuren,1,15,0,0,0,0,0.262
Mazuren,1,16,1,0,0,0,0.534
Mazuren,1,17,1,0,0,0,0.668
Mazuren,1,18,1,0,0,0,0.643
Mazuren,1,19,1,0,0,0,0.659
Mazuren,1,20,0,0,0,0,0.291
Mazuren,1,21,0,0,0,1,0.543
Mazuren,1,22,0,0,0,0,0.255
Mazuren,2,5,0,0,0,0,0.312
Mazuren,2,6,1,0,0,0,0.536
Mazuren,2,7,1,0,0,0,0.636
Mazuren,2,8,1,0,0,0,0.552
Mazuren,2,9,1,0,0,0,0.599
Mazuren,2,10,0,0,0,0,0.321
Mazuren,2,11,0,0,0,0,0.306
Mazuren,2,12,0,0,0,0,0.3
Mazuren,2,13,0,0,0,0,0.272
Mazuren,2,14,0,0,0,0,0.29
Mazuren,2,15,0,0,0,0,0.289
Mazuren,2,16,1,0,0,0,0.55
Mazuren,2,17,1,0,0,0,0.625
Mazuren,2,18,1,0,0,0,0.694
Mazuren,2,19,1,0,0,0,0.687
Mazuren,2,20,0,0,0,0,0.307
Mazuren,2,21,0,0,0,0,0.34
Mazuren,2,22,0,0,0,0,0.331
Mazuren,3,5,0,0,0,0,0.285
Mazuren,3,6,1,0,0,0,0.549
Mazuren,3,7,1,0,0,0,0.63
Mazuren,3,8,1,0,0,0,0.595
Mazuren,3,9,1,0,0,0,0.616
Mazuren,3,10,0,0,0,0,0.283
Mazuren,3,11,0,0,0,0,0.323
Mazuren,3,12,0,0,0,0,0.278
Mazuren,3,13,0,0,0,0,0.341
Mazuren,3,14,0,0,0,0,0.279
Mazuren,3,15,0,0,0,0,0.281
Mazuren,3,16,1,0,0,0,0.533
Mazuren,3,17,1,0,0,0,0.681
Mazuren,3,18,1,0,0,0,0.645
Mazuren,3,19,1,0,0,0,0.633
Mazuren,3,20,0,0,0,0,0.317
Mazuren,3,21,0,0,0,0,0.331
Mazuren,3,22,0,0,0,0,0.261
Mazuren,4,5,0,0,0,0,0.291
Mazuren,4,6,1,0,0,0,0.548
Mazuren,4,7,1,0,0,0,0.572
Mazuren,4,8,1,0,0,0,0.633
Mazuren,4,9,1,0,0,0,0.561
Mazuren,4,10,0,0,0,0,0.321
Mazuren,4,11,0,0,0,0,0.308
Mazuren,4,12,0,0,0,1,0.478
Mazuren,4,13,0,0,0,0,0.255
Mazuren,4,14,0,0,0,0,0.281
Mazuren,4,15,0,0,0,0,0.256
Mazuren,4,16,1,0,0,0,0.531
Mazuren,4,17,1,0,0,0,0.61
Mazuren,4,18,1,0,0,0,0.662
Mazuren,4,19,1,0,0,0,0.649
Mazuren,4,20,0,0,0,0,0.259
Mazuren,4,21,0,0,0,0,0.313
Mazuren,4,22,0,0,0,0,0.348
Mazuren,5,5,0,1,0,0,0.029
Mazuren,5,6,1,1,0,0,0.155
Mazuren,5,7,1,1,0,0,0.334
Mazuren,5,8,1,1,0,0,0.318
Mazuren,5,9,1,1,0,0,0.333
Mazuren,5,10,0,1,0,0,0.039
Mazuren,5,11,0,1,0,0,0.0
Mazuren,5,12,0,1,0,0,0.04
Mazuren,5,13,0,1,0,0,0.022
Mazuren,5,14,0,1,0,0,0.0
Mazuren,5,15,0,1,0,0,0.0
Mazuren,5,16,1,1,0,0,0.166
Mazuren,5,17,1,1,0,1,0.589
Mazuren,5,18,1,1,0,0,0.356
Mazuren,5,19,1,1,0,1,0.574
Mazuren,5,20,0,1,0,0,0.0
Mazuren,5,21,0,1,0,0,0.05
Mazuren,5,22,0,1,0,1,0.212
Mazuren,6,5,0,1,0,0,0.021
Mazuren,6,6,1,1,0,0,0.22
Mazuren,6,7,1,1,0,0,0.268
Mazuren,6,8,1,1,0,0,0.253
Mazuren,6,9,1,1,0,0,0.258
Mazuren,6,10,0,1,0,0,0.029
Mazuren,6,11,0,1,0,0,0.0
Mazuren,6,12,0,1,0,0,0.006
Mazuren,6,13,0,1,0,0,0.027
Mazuren,6,14,0,1,0,0,0.011
Mazuren,6,15,0,1,0,0,0.0
Mazuren,6,16,1,1,0,0,0.246
Mazuren,6,17,1,1,0,0,0.359
Mazuren,6,18,1,1,0,0,0.386
Mazuren,6,19,1,1,0,0,0.318
Mazuren,6,20,0,1,0,0,0.01
Mazuren,6,21,0,1,0,1,0.151
Mazuren,6,22,0,1,0,0,0.031
Calle 142,0,5,0,0,0,0,0.276
Calle 142,0,6,1,0,0,0,0.463
Calle 142,0,7,1,0,0,0,0.642
Calle 142,0,8,1,0,0,0,0.626
Calle 142,0,9,1,0,0,0,0.583
Calle 142,0,10,0,0,0,0,0.318
Calle 142,0,11,0,0,0,0,0.267
Calle 142,0,12,0,0,0,0,0.324
Calle 142,0,13,0,0,0,0,0.276
Calle 142,0,14,0,0,0,0,0.276
Calle 142,0,15,0,0,0,0,0.259
Calle 142,0,16,1,0,0,0,0.45
Calle 142,0,17,1,0,0,0,0.665
Calle 142,0,18,1,0,0,0,0.641
Calle 142,0,19,1,0,0,0,0.61
Calle 142,0,20,0,0,0,0,0.337
Calle 142,0,21,0,0,0,0,0.312
Calle 142,0,22,0,0,0,0,0.286
Calle 142,1,5,0,0,0,0,0.348
Calle 142,1,6,1,0,0,0,0.544
Calle 142,1,7,1,0,0,0,0.551
Calle 142,1,8,1,0,0,0,0.611
Calle 142,1,9,1,0,0,0,0.596
Calle 142,1,10,0,0,0,0,0.332
Calle 142,1,11,0,0,0,0,0.348
Calle 142,1,12,0,0,0,0,0.278
Calle 142,1,13,0,0,0,0,0.264
Calle 142,1,14,0,0,0,0,0.307
Calle 142,1,15,0,0,0,0,0.298
Calle 142,1,16,1,0,0,0,0.493
Calle 142,1,17,1,0,0,0,0.617
Calle 142,1,18,1,0,0,1,0.82
Calle 142,1,19,1,0,0,0,0.602
Calle 142,1,20,0,0,0,0,0.276
Calle 142,1,21,0,0,0,0,0.327
Calle 142,1,22,0,0,0,0,0.254
Calle 142,2,5,0,0,0,0,0.328
Calle 142,2,6,1,0,0,0,0.539
Calle 142,2,7,1,0,0,1,0.836
Calle 142,2,8,1,0,0,0,0.602
Calle 142,2,9,1,0,0,0,0.623
Calle 142,2,10,0,0,0,0,0.325
Calle 142,2,11,0,0,0,0,0.337
Calle 142,2,12,0,0,0,0,0.252
Calle 142,2,13,0,0,0,0,0.325
Calle 142,2,14,0,0,0,0,0.286
Calle 142,2,15,0,0,0,0,0.296
Calle 142,2,16,1,0,0,0,0.452
Calle 142,2,17,1,0,0,0,0.635
Calle 142,2,18,1,0,0,0,0.668
Calle 142,2,19,1,0,0,0,0.676
Calle 142,2,20,0,0,0,0,0.316
Calle 142,2,21,0,0,0,0,0.349
Calle 142,2,22,0,0,0,0,0.252
Calle 142,3,5,0,0,0,0,0.27
Calle 142,3,6,1,0,0,0,0.544
Calle 142,3,7,1,0,0,0,0.649
Calle 142,3,8,1,0,0,0,0.58
Calle 142,3,9,1,0,0,0,0.64
Calle 142,3,10,0,0,0,0,0.344
Calle 142,3,11,0,0,0,0,0.284
Calle 142,3,12,0,0,0,0,0.32
Calle 142,3,13,0,0,0,0,0.318
Calle 142,3,14,0,0,0,0,0.299
Calle 142,3,15,0,0,0,0,0.294
Calle 142,3,16,1,0,0,0,0.504
Calle 142,3,17,1,0,0,1,0.803
Calle 142,3,18,1,0,0,0,0.697
Calle 142,3,19,1,0,0,0,0.651
Calle 142,3,20,0,0,0,0,0.308
Calle 142,3,21,0,0,0,0,0.258
Calle 142,3,22,0,0,0,0,0.265
Calle 142,4,5,0,0,0,0,0.272
Calle 142,4,6,1,0,0,0,0.511
Calle 142,4,7,1,0,0,0,0.583
Calle 142,4,8,1,0,0,0,0.586
Calle 142,4,9,1,0,0,0,0.615
Calle 142,4,10,0,0,0,0,0.289
Calle 142,4,11,0,0,0,0,0.283
Calle 142,4,12,0,0,0,0,0.283
Calle 142,4,13,0,0,0,0,0.344
Calle 142,4,14,0,0,0,0,0.304
Calle 142,4,15,0,0,0,0,0.271
Calle 142,4,16,1,0,0,0,0.491
Calle 142,4,17,1,0,0,0,0.627
Calle 142,4,18,1,0,0,0,0.659
Calle 142,4,19,1,0,0,0,0.639
Calle 142,4,20,0,0,0,0,0.256
Calle 142,4,21,0,0,0,0,0.318
Calle 142,4,22,0,0,0,0,0.254
Calle 142,5,5,0,1,0,0,0.007
Calle 142,5,6,1,1,0,0,0.17
Calle 142,5,7,1,1,0,0,0.284
Calle 142,5,8,1,1,0,1,0.488
Calle 142,5,9,1,1,0,0,0.27
Calle 142,5,10,0,1,0,0,0.012
Calle 142,5,11,0,1,0,0,0.0
Calle 142,5,12,0,1,0,0,0.05
Calle 142,5,13,0,1,0,0,0.0
Calle 142,5,14,0,1,0,0,0.001
Calle 142,5,15,0,1,0,0,0.029
Calle 142,5,16,1,1,0,0,0.156
Calle 142,5,17,1,1,0,0,0.319
Calle 142,5,18,1,1,0,1,0.538
Calle 142,5,19,1,1,0,0,0.395
Calle 142,5,20,0,1,0,0,0.041
Calle 142,5,21,0,1,0,0,0.0
Calle 142,5,22,0,1,0,0,0.011
Calle 142,6,5,0,1,0,0,0.0
